pulse_index,time_s,x_m,y_m
239,0.47800000000000004,0.00033000000000000054,0.0007999999999999999
240,0.48,0.0003499999999999997,0.0007999999999999999
241,0.482,0.0003699999999999998,0.0007999999999999999
242,0.484,0.00038999999999999983,0.0007999999999999999
243,0.486,0.0004099999999999999,0.0007999999999999999
244,0.488,0.00042999999999999994,0.0007999999999999999
245,0.49,0.00045,0.0007999999999999999
246,0.492,0.00047000000000000004,0.0007999999999999999
247,0.494,0.0004900000000000001,0.0007999999999999999
248,0.496,0.0005100000000000001,0.0007999999999999999
249,0.498,0.0005300000000000002,0.0007999999999999999
250,0.5,0.0005500000000000002,0.0007999999999999999
251,0.502,0.0005700000000000003,0.0007999999999999999
252,0.504,0.0005900000000000004,0.0007999999999999999
253,0.506,0.0006100000000000004,0.0007999999999999999
254,0.508,0.0006300000000000005,0.0007999999999999999
255,0.51,0.0006500000000000005,0.0007999999999999999
256,0.512,0.0006700000000000006,0.0007999999999999999
257,0.514,0.0006900000000000006,0.0007999999999999999
258,0.516,0.0007100000000000007,0.0007999999999999999
259,0.518,0.0007300000000000007,0.0007999999999999999
260,0.52,0.0007500000000000008,0.0007999999999999999
261,0.522,0.0007700000000000008,0.0007999999999999999
262,0.524,0.0007900000000000009,0.0007999999999999999
263,0.526,0.0008100000000000001,0.0007999999999999999
264,0.528,0.0008300000000000001,0.0007999999999999999
265,0.53,0.0008500000000000002,0.0007999999999999999
266,0.532,0.0008700000000000002,0.0007999999999999999
267,0.534,0.0008900000000000003,0.0007999999999999999
268,0.536,0.0009100000000000003,0.0007999999999999999
269,0.538,0.0009300000000000004,0.0007999999999999999
270,0.54,5.0000000000000436e-05,0.00095
271,0.542,7.000000000000048e-05,0.00095
272,0.544,9.000000000000053e-05,0.00095
273,0.546,0.00011000000000000059,0.00095
274,0.548,0.00013000000000000064,0.00095
275,0.55,0.0001500000000000007,0.00095
276,0.552,0.00017000000000000074,0.00095
277,0.554,0.0001900000000000008,0.00095
278,0.556,0.00021000000000000085,0.00095
279,0.558,0.0002300000000000009,0.00095
280,0.56,0.000250000000000001,0.00095
281,0.562,0.00027000000000000103,0.00095
282,0.5640000000000001,0.0002900000000000011,0.00095
283,0.5660000000000001,0.00031000000000000114,0.00095
284,0.5680000000000001,0.0003300000000000012,0.00095
285,0.5700000000000001,0.00035000000000000124,0.00095
286,0.5720000000000001,0.0003700000000000013,0.00095
287,0.5740000000000001,0.00039000000000000135,0.00095
288,0.5760000000000001,0.00041000000000000053,0.00095
289,0.578,0.0004299999999999997,0.00095
290,0.58,0.00044999999999999977,0.00095
291,0.582,0.0004699999999999998,0.00095
292,0.584,0.0004899999999999999,0.00095
293,0.586,0.0005099999999999999,0.00095
294,0.588,0.00053,0.00095
295,0.59,0.00055,0.00095
296,0.592,0.0005700000000000001,0.00095
297,0.594,0.0005900000000000001,0.00095
298,0.596,0.0006100000000000002,0.00095
299,0.598,0.0006300000000000002,0.00095
300,0.6,0.0006500000000000003,0.00095
301,0.602,0.0006700000000000003,0.00095
302,0.604,0.0006900000000000004,0.00095
303,0.606,0.0007100000000000005,0.00095
304,0.608,0.0007300000000000005,0.00095
305,0.61,0.0007500000000000006,0.00095
